-1.3663018,1.6277176,8.775079
-1.4045869,1.5924234,8.762517
-1.4434702,1.5840486,8.799007
-1.5744773,1.608575,8.921639
-1.6797615,1.570888,8.989835
-1.7144574,1.5158532,9.008379
-1.6683956,1.4644074,9.094521
-1.6468602,1.4410775,9.116056
-1.6785651,1.3776677,9.215359
-1.6791633,1.3345969,9.337392
-1.6821543,1.2747762,9.398409
-1.7808583,1.1736795,9.51147
-1.6606189,1.1485549,9.536594
-1.5750755,1.1682956,9.487542
-1.5098711,1.2017952,9.417552
-1.2813566,1.3597214,9.564113
-1.1964114,1.4344972,9.652647
-1.0881361,1.5044873,9.713065
-1.0342976,1.5230316,9.680762
-1.1359925,1.5284154,9.516854
-1.247857,1.5176477,9.467801
-1.2520444,1.4721842,9.41815
-1.265205,1.3112668,9.326625
-1.3064811,1.244866,9.417552
-1.0797613,1.3537394,9.683753
-0.9092726,1.5056837,9.708878
-0.9379865,1.7593229,9.887143
-0.657428,2.3988047,10.797612
-0.71365935,2.4831517,11.082956
-0.3792624,1.933999,10.518848
-1.198206,1.7958134,11.07518
-2.6189444,2.3144577,11.52862
-3.8458643,0.9134601,12.278172
-2.5836504,0.75673014,11.706286
-1.4374882,0.5389833,11.073385
-0.23988047,0.48574302,8.733803
0.39601216,1.0420743,6.0753765
-0.13998012,2.039283,7.8406816
-0.53659046,2.6033912,9.953544
-0.17347965,1.3351951,9.056235
0.08075777,0.6478567,8.349156
-0.7076773,0.05503492,9.30808
-0.6436693,0.46779683,10.247861
-1.0031909,1.1670992,11.783455
-2.3605196,1.5780666,11.9204445
-2.4161527,1.2047862,10.69831
-1.2993027,2.4263222,3.812963
-0.94396853,1.3800604,1.7868403
-0.6586244,1.5128621,1.189831
-1.0390832,1.8107686,2.5106692
-1.8346968,2.0380867,4.988437
-7.8807616,5.481957,15.265611
-5.4029937,4.0528436,16.261024
3.1770704,-0.29970104,13.930415
2.5022943,0.7004988,11.648859
-0.8350951,2.7236304,7.176075
-0.7932207,3.077768,4.5673003
1.9968106,2.8145576,3.3236306
2.6243284,3.1339996,6.3978095
2.5938199,2.9910283,9.794421
2.4131618,2.2582264,11.803196
2.4622145,1.6857436,9.774082
-0.35114673,2.876771,8.6853485
-0.12921242,2.7684958,8.286345
1.5044873,3.0011978,7.9040914
2.39701,3.2338998,8.068598
3.1160533,2.774478,9.45165
-0.41754755,4.0271206,13.547564
2.4191437,3.269194,9.97149
1.9902302,3.0418758,8.186444
2.0668006,3.629912,7.908279
1.1090733,3.3116665,9.588638
0.8147561,2.0697916,9.817153
1.2634103,2.42034,8.187641
